order_id,customer_id,order_date,city,warehouse,distance_km,order_value,order_items,warehouse_load,promised_delivery_days,actual_delivery_days,is_delayed,delay_days,past_delays,is_returned,delivery_cost,return_cost,month,distance_segment,load_segment,delay_probability
ORD00001,CUST0103,2024-01-01 00:00:00,Kolkata,WH_East,85,18476,12,179,5,9,1,4,0,0,620,0,2024-01,Medium,High,0.6836538064468023
ORD00002,CUST0436,2024-01-01 02:00:00,Pune,WH_South,40,38876,13,179,3,5,1,2,2,0,330,0,2024-01,Short,High,0.571493243014254
ORD00003,CUST0861,2024-01-01 04:00:00,Bangalore,WH_West,71,6026,2,187,2,4,1,2,4,1,392,500,2024-01,Medium,High,0.7117284303511494
ORD00004,CUST0271,2024-01-01 06:00:00,Kolkata,WH_South,133,31586,12,200,2,3,1,1,1,0,416,0,2024-01,Medium,High,0.6423234138806515
ORD00005,CUST0107,2024-01-01 08:00:00,Chennai,WH_North,374,22063,4,192,2,3,1,1,1,0,898,0,2024-01,Long,High,0.6414298246001633
ORD00006,CUST0072,2024-01-01 10:00:00,Pune,WH_West,159,6972,6,167,5,5,0,0,1,0,368,0,2024-01,Long,High,0.5007752779506383
ORD00007,CUST0701,2024-01-01 12:00:00,Chennai,WH_East,249,3275,14,177,3,6,1,3,2,0,848,0,2024-01,Long,High,0.7234471956641749
ORD00008,CUST0021,2024-01-01 14:00:00,Pune,WH_South,115,16328,2,66,7,8,1,1,3,1,380,500,2024-01,Medium,Low,0.6784119513996337
ORD00009,CUST0615,2024-01-01 16:00:00,Mumbai,WH_North,172,45276,2,131,3,2,0,0,1,0,394,0,2024-01,Long,Medium,0.5788056166973139
ORD00010,CUST0122,2024-01-01 18:00:00,Mumbai,WH_East,485,18474,2,63,2,6,1,4,3,0,1420,0,2024-01,Long,Low,0.7480483475991759
ORD00011,CUST0467,2024-01-01 20:00:00,Mumbai,WH_East,472,22888,3,130,2,3,1,1,4,0,1094,0,2024-01,Long,Medium,0.7380617314590944
ORD00012,CUST0215,2024-01-01 22:00:00,Kolkata,WH_West,146,15555,5,172,5,8,1,3,1,0,642,0,2024-01,Medium,High,0.6585688577542287
ORD00013,CUST0331,2024-01-02 00:00:00,Chennai,WH_East,360,19115,9,65,7,10,1,3,2,0,1070,0,2024-01,Long,Low,0.7060533917897505
ORD00014,CUST0459,2024-01-02 02:00:00,Chennai,WH_East,201,38386,6,81,5,8,1,3,3,0,752,0,2024-01,Long,Low,0.6120370994201533
ORD00015,CUST0088,2024-01-02 04:00:00,Chennai,WH_East,475,23338,12,72,7,7,0,0,3,0,1000,0,2024-01,Long,Low,0.5712211804191287
